,Req,Street,Area,Price,Available,Link,Added,Image
0,, 25 pembroke street upper,Dublin 2,Live. Connect. Thrive ,Now,https://www.daft.ie/for-rent/node-living-25-pembroke-street-upper-dublin-2/1527608,21:09 2022/09/04,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Imluc2lkZSIsImhlaWdodCI6ODB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjIvYi8yYjM3MjgxNWRiMzQzNGQxYTE0YzJjZTUzOGFjMDUwZl9zdGFuZGFyZC5qcGcifQ==?signature=a69f177c0434bf3ec40d90569ca92185a08da1bee9e6a3d2e2b2bb964f0927ce
1,, Dublin 2,,"€1,100 per month ",Now,https://www.daft.ie/share/camden-street-dublin-2/4018056,21:09 2022/09/04,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLW1lZGl1bS12My5wbmcifSwicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjM2MCwiaGVpZ2h0IjoyNDB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjcvNi83NjI2NGI3OGNiYTlhNmUwMmVkMmVjN2I4MGJmM2Y3Mi5qcGcifQ==?signature=3de6569ed0369bfd65d3b72a4951baff453af16d84f5de4728a17ac7bdf1d5df
2,TRUE, Dublin 2,,€975 per month ,Now,https://www.daft.ie/share/22-grand-canal-street-lower-dublin-2/4072652,12:04 2022/09/05,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLW1lZGl1bS12My5wbmcifSwicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjM2MCwiaGVpZ2h0IjoyNDB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6ImMvOS9jOTViYzZhOGRiZDY4NWZjY2Y5ZjcyNjNjMzI5YzI3Yi5qcGcifQ==?signature=4711ef907a7853bb66c7a024856ab2a891425f63e178ce77315853feb8c2647f
3,, Grand Canal Dock,Dublin 2,"€1,166 per month ",Now,https://www.daft.ie/share/608-longboat-quay-north-grand-canal-dock-dublin-2/4071990,21:09 2022/09/04,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLW1lZGl1bS12My5wbmcifSwicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjM2MCwiaGVpZ2h0IjoyNDB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjYvOS82OTBlNmM2MGVjYWRkNTczYzIzODY2OTc0ZDViZjI1YS5qcGcifQ==?signature=c7676abe5d27e1c8761bb08f3e15c087fe46deb29cd02a98850fecd1d7f8d619
4,, Dublin 2,,"€1,150 per month ",Now,https://www.daft.ie/share/3-pembroke-place-dublin-2/4044256,21:09 2022/09/04,https://media.daft.ie/eyJidWNrZXQiOiJtZWRpYW1hc3Rlci1zM2V1IiwiZWRpdHMiOnsib3ZlcmxheVdpdGgiOnsiYnVja2V0IjoibWVkaWFtYXN0ZXItczNldSIsIm9wdGlvbnMiOnsiZ3Jhdml0eSI6ImNlbnRyZSJ9LCJrZXkiOiJ3YXRlcm1hcmstZGFmdC1sb2dvLW1lZGl1bS12My5wbmcifSwicmVzaXplIjp7ImZpdCI6ImNvdmVyIiwid2lkdGgiOjM2MCwiaGVpZ2h0IjoyNDB9fSwib3V0cHV0Rm9ybWF0IjoianBlZyIsImtleSI6IjAvMS8wMTZkZDE5YmIwYTNhOTMxZDg1MjlkNmRkMmFmOWUyOS5qcGcifQ==?signature=7a7ae2b1277c7ef1f4246b5879b25120f6d80a3f50b22fbd7fe74c703d79de99
5,,The Benson,The Benson  Britain Quay  Dublin 2,"€3,250 per month",Now,https://www.daft.ie/for-rent/apartment-2-bed-apartment-the-benson-the-benson-britain-quay-dublin-2/3581865,21:09 2022/09/04,
6,,The Benson,The Benson  Britain Quay  Dublin 2,"€4,350 per month",Now,https://www.daft.ie/for-rent/apartment-3-bed-apartment-the-benson-the-benson-britain-quay-dublin-2/3581866,21:09 2022/09/04,
7,,Opus,6 Hanover Quay  Hanover Quay  Dublin 2,"€6,222 per month",Now,https://www.daft.ie/for-rent/apartment-3-bedroom-apartment-opus-6-hanover-quay-hanover-quay-dublin-2/1442729,21:09 2022/09/04,
8,,Opus,6 Hanover Quay  Hanover Quay  Dublin 2,"€14,280 per month",Now,https://www.daft.ie/for-rent/apartment-4-bed-penthouse-opus-6-hanover-quay-hanover-quay-dublin-2/2612651,21:09 2022/09/04,
9,,Node Living,25 pembroke street upper  Dublin 2,"€4,039 per month",Now,https://www.daft.ie/for-rent/apartment-stunning-2-bed-2-bath-apartment-node-living-25-pembroke-street-upper-dublin-2/1527609,21:09 2022/09/04,
10,,Capital Dock Residence,Grand Canal   Dublin 2,"€4,052 per month",Now,https://www.daft.ie/for-rent/apartment-2-bedroom-apartment-capital-dock-residence-grand-canal-dublin-2/2607782,21:09 2022/09/04,
11,,Capital Dock Residence,Grand Canal   Dublin 2,"€10,440 per month",Now,https://www.daft.ie/for-rent/apartment-penthouse-2001-capital-dock-residence-sjr-capital-dock-82-sir-john-dublin-2/1443912,21:09 2022/09/04,
12,,Apartment 83,Block 9  Grand Canal Square Residences  Dublin 2,"€3,750 per month ",Now,https://www.daft.ie/for-rent/apartment-apartment-83-block-9-grand-canal-square-residences-dublin-2/4026461,21:09 2022/09/04,
13,,Winter Garden Pearse Street,Dublin 2,"€2,700 per month ",Now,https://www.daft.ie/for-rent/apartment-winter-garden-pearse-street-dublin-2/4072494,21:09 2022/09/04,
14,TRUE,Harcourt Street,Dublin 2,€959 per month ,Now,https://www.daft.ie/for-rent/studio-apartment-harcourt-street-dublin-2/4072800,12:04 2022/09/05,
15,,The Curve,Millennium Tower  Dublin 4,"€6,750 per month ",Now,https://www.daft.ie/for-rent/apartment-the-curve-millennium-tower-dublin-4/4045130,21:09 2022/09/04,
16,,4 Symphony House Adelaide RoadDublin 2,Dublin 2,"€2,150 per month ",Now,https://www.daft.ie/for-rent/apartment-4-symphony-house-adelaide-roaddublin-2-dublin-2/4025487,21:09 2022/09/04,
17,TRUE,151a Pearse Street,Dublin 2,"€2,100 per month ",Now,https://www.daft.ie/for-rent/house-151a-pearse-street-dublin-2/4072552,12:04 2022/09/05,
18,,Hanover Court,Hanover Quay  Dublin 2,"€3,500 per month ",Now,https://www.daft.ie/for-rent/apartment-hanover-court-hanover-quay-dublin-2/3996460,21:09 2022/09/04,
19,,Wintergarden,97 Pearse St  Dublin 2,"€2,700 per month ",Now,https://www.daft.ie/for-rent/apartment-wintergarden-97-pearse-st-dublin-2/4071777,21:09 2022/09/04,
20,,Bachelor's Walk,Dublin 1,"€1,818 per month ",Now,https://www.daft.ie/for-rent/apartment-bachelors-walk-dublin-1/4051899,21:09 2022/09/04,
21,,1 Lincoln Place,apt 2.  Dublin 2,"€2,066 per month ",Now,https://www.daft.ie/for-rent/apartment-1-lincoln-place-apt-2-dublin-2/4045067,21:09 2022/09/04,
22,,The Dock Mill,Grand Mill Quay  Dublin 4,"€2,695 per month ",Now,https://www.daft.ie/for-rent/apartment-the-dock-mill-grand-mill-quay-dublin-4/4026829,21:09 2022/09/04,
23,,Dunloe Hall,Dublin 2,"€3,950 per month ",Now,https://www.daft.ie/for-rent/apartment-dunloe-hall-dublin-2/4046977,21:09 2022/09/04,
